match_id,round,group,date,time,team1,team2,status,ft1,ft2,ht1,ht2,ground,goals1,goals2
1,Matchday 1,Group A,2026-06-11,13:00 UTC-6,Mexico,South Africa,played,2,0,1,0,Mexico City,Julián Quiñones 9'; Raúl Jiménez 67',
2,Matchday 1,Group A,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,played,2,1,0,0,Guadalajara (Zapopan),Hwang In-Beom 67'; Oh Hyeon-Gyu 80',Ladislav Krejcí 59'
3,Matchday 8,Group A,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,played,1,1,1,0,Atlanta,Michal Sadílek 6',Teboho Mokoena 83'(P)
4,Matchday 8,Group A,2026-06-18,19:00 UTC-6,Mexico,South Korea,played,1,0,0,0,Guadalajara (Zapopan),Luis Romo 50',
5,Matchday 14,Group A,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,played,0,3,0,0,Mexico City,,Mateo Chávez 55'; Julián Quiñones 61'; Álvaro Fidalgo 90+4'
6,Matchday 14,Group A,2026-06-24,19:00 UTC-6,South Africa,South Korea,played,1,0,0,0,Monterrey (Guadalupe),Thapelo Maseko 63',
7,Matchday 2,Group B,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,played,1,1,0,1,Toronto,Cyle Larin 78',Jovo Lukić 21'
8,Matchday 3,Group B,2026-06-13,12:00 UTC-7,Qatar,Switzerland,played,1,1,0,1,San Francisco Bay Area (Santa Clara),Miro Muheim 90+4',Breel Embolo 17'(P)
9,Matchday 8,Group B,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,played,4,1,0,0,Los Angeles (Inglewood),Johan Manzambi 74'; Johan Manzambi 90'; Rubén Vargas 84'; Granit Xhaka 90+7'(P),Ermin Mahmic 90+3'
10,Matchday 8,Group B,2026-06-18,15:00 UTC-7,Canada,Qatar,played,6,0,3,0,Vancouver,Cyle Larin 16'; Jonathan David 29'; Jonathan David 45+3'; Nathan Saliba 64'; Mohamed Manai 75'; Jonathan David 90+2',
11,Matchday 14,Group B,2026-06-24,12:00 UTC-7,Switzerland,Canada,played,2,1,0,0,Vancouver,Rubén Vargas 46'; Johan Manzambi 57',Promise David 76'
12,Matchday 14,Group B,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,played,3,1,2,1,Seattle,Kerim Alajbegovic 29'; Mahmoud Abunada 34'; Ermin Mahmic 80',Hassan Al-Haydos 42'
13,Matchday 3,Group C,2026-06-13,18:00 UTC-4,Brazil,Morocco,played,1,1,1,1,New York/New Jersey (East Rutherford),Vinícius Júnior 32',Ismael Saibari 21'
14,Matchday 3,Group C,2026-06-13,21:00 UTC-4,Haiti,Scotland,played,0,1,0,1,Boston (Foxborough),,John McGinn 28'
15,Matchday 9,Group C,2026-06-19,18:00 UTC-4,Scotland,Morocco,played,0,1,0,1,Boston (Foxborough),,Ismael Saibari 2'
16,Matchday 9,Group C,2026-06-19,20:30 UTC-4,Brazil,Haiti,played,3,0,3,0,Philadelphia,Matheus Cunha 23'; Matheus Cunha 36'; Vinícius Júnior 45+3',
17,Matchday 14,Group C,2026-06-24,18:00 UTC-4,Scotland,Brazil,played,0,3,0,2,Miami (Miami Gardens),,Vinícius Júnior 7'; Vinícius Júnior 45+3'; Matheus Cunha 60'
18,Matchday 14,Group C,2026-06-24,18:00 UTC-4,Morocco,Haiti,played,4,2,2,2,Atlanta,Achraf Hakimi 39'; Ismael Saibari 45+1'; Soufiane Rahimi 78'; Gessime Yassine 89',Yassine Bounou 10'; Wilson Isidor 43'
19,Matchday 2,Group D,2026-06-12,18:00 UTC-7,USA,Paraguay,played,4,1,3,0,Los Angeles (Inglewood),Damian Bobadilla 7'; Folarin Balogun 31'; Folarin Balogun 45+5'; Giovanni Reyna 90+8',Mauricio 73'
20,Matchday 3,Group D,2026-06-13,21:00 UTC-7,Australia,Turkey,played,2,0,1,0,Vancouver,Nestory Irankunda 27'; Connor Metcalfe 75',
21,Matchday 9,Group D,2026-06-19,12:00 UTC-7,USA,Australia,played,2,0,2,0,Seattle,Cameron Burgess 11'; Alex Freeman 43',
22,Matchday 9,Group D,2026-06-19,20:00 UTC-7,Turkey,Paraguay,played,0,1,0,1,San Francisco Bay Area (Santa Clara),,Matías Galarza 2'
23,Matchday 15,Group D,2026-06-25,19:00 UTC-7,Turkey,USA,played,3,2,2,1,Los Angeles (Inglewood),Arda Güler 10'; Baris Alper Yilmaz 31'; Kaan Ayhan 90+8',Auston Trusty 3'; Sebastian Berhalter 49'
24,Matchday 15,Group D,2026-06-25,19:00 UTC-7,Paraguay,Australia,played,0,0,0,0,San Francisco Bay Area (Santa Clara),,
25,Matchday 4,Group E,2026-06-14,12:00 UTC-5,Germany,Curaçao,played,7,1,3,1,Houston,Felix Nmecha 6'; Nico Schlotterbeck 38'; Kai Havertz 45+5'(P); Kai Havertz 88'; Jamal Musiala 47'; Nathaniel Brown 68'; Deniz Undav 78',Livano Comenencia 21'
26,Matchday 4,Group E,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,played,1,0,0,0,Philadelphia,Amad Diallo 90',
27,Matchday 10,Group E,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,played,2,1,0,1,Toronto,Deniz Undav 68'; Deniz Undav 90+4',Franck Kessié 30'
28,Matchday 10,Group E,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,played,0,0,0,0,Kansas City,,
29,Matchday 15,Group E,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,played,0,2,0,1,Philadelphia,,Nicolas Pépé 7'; Nicolas Pépé 64'
30,Matchday 15,Group E,2026-06-25,16:00 UTC-4,Ecuador,Germany,played,2,1,1,1,New York/New Jersey (East Rutherford),Nilson Angulo 9'; Gonzalo Plata 77',Leroy Sané 2'
31,Matchday 4,Group F,2026-06-14,15:00 UTC-5,Netherlands,Japan,played,2,2,0,0,Dallas (Arlington),Virgil van Dijk 51'; Crysencio Summerville 64',Keito Nakamura 57'; Daichi Kamada 88'
